,League,League_Avg,League_Med,n,CompFactor,MedCoefficient,,,,,
1,AUT,0.492422238,0.44050482,11,1.002693218,0.923587388,,,,,
2,AUT2,0.280975406,0.29204931,16,0.572135277,0.612327146,,,,,
2.5,Argentina Liga Profesional,0.504753853,0.50114166,20,1.027803428,1.050722026,,,,,
3,Belgium First Division A,0.586946911,0.591293145,18,1.195168782,1.239738742,,,,,
4,Brazil Serie A,0.504753853,0.50114166,20,1.027803428,1.050722026,,,,,
5,BuLi,0.778967892,0.78112358,18,1.586170894,1.637747998,,,,,
6,BuLi2,0.549490984,0.54868774,18,1.118899271,1.150409833,,,,,
7,BuLi3,0.389831494,0.380342975,20,0.793793141,0.797448652,,,,,
8,CHN,0.376825706,0.374701405,18,0.767310146,0.785620216,,,,,
9,COL,0.462996664,0.462612545,20,0.942775486,0.969939698,,,,,
10,CRO,0.305723273,0.253079955,10,0.622528043,0.530621787,,,,,
11,CZE,0.460455965,0.45357251,16,0.937601996,0.950985848,,,,,
12,DNK,0.548722888,0.54914884,12,1.117335236,1.151376602,,,,,
13,English Championship,0.592546221,0.58600877,24,1.206570359,1.228659222,,,,,
14,ECU,0.431934034,0.41926682,16,0.879524305,0.879058593,,,,,
15,England League One,0.49109958,0.47694977,24,0.999999958,0.999999937,,,,,
16,English League Two,0.386303924,0.392705585,24,0.786610138,0.823368801,,,,,1.305081305
17,English Premier League,0.820285387,0.79909082,20,1.670303512,1.675419132,,,,,
18,League of Ireland,0.295999891,0.290400415,10,0.602728837,0.60886998,,,,,
19,JPN,0.476828242,0.476197335,18,0.970939993,0.998422339,,,,,
20,LaLiga,0.748751998,0.74792091,20,1.524643877,1.568133397,,,,,
21,LaLiga2,0.575295879,0.58928797,22,1.171444406,1.235534578,,,,,
22,Ligue1,0.704002347,0.67190838,20,1.433522541,1.408761216,,,,,
23,Ligue2,0.491894221,0.477066765,20,1.001618044,1.000245235,,,,,
24,MLS,0.545713213,0.545742235,28,1.111206796,1.144234121,,,,,
25,MX,0.540730481,0.528966435,18,1.101060724,1.109061027,,,,,
26,Dutch Eredivisie,0.586016092,0.53446875,17,1.193273405,1.120597493,,,,,
27,NL2,0.3265129,0.296022075,20,0.664860854,0.620656671,,,,,
28,NOR,0.474597835,0.46543127,16,0.966398333,0.975849597,,,,,
29,PL2,0.397591665,0.41450207,25,0.809594765,0.869068548,,,,,
30,POL,0.461756369,0.44530868,18,0.940249939,0.933659433,,,,,
31,Portuguese Primeira Liga,0.549903924,0.49246115,18,1.119740119,1.032521976,,,,,
32,RUS,0.503478869,0.512235345,16,1.025207247,1.073981675,,,,,
33,SA,0.40137666,0.383245575,16,0.817301949,0.803534408,,,,,
34,Scottish Premiership,0.409599338,0.37338313,12,0.834045351,0.782856246,,,,,
35,SerieA,0.723988783,0.71399446,20,1.474219858,1.497001278,,,,,
36,SerieB,0.523617809,0.51158615,20,1.0662151,1.072620536,,,,,
37,SWE,0.415411623,0.413759535,16,0.845880598,0.867511707,,,,,
38,SWZ,0.603983023,0.61864851,10,1.229858511,1.297093552,,,,,
39,SWZ2,0.390402121,0.39403356,10,0.794955078,0.826153109,,,,,
40,TUR,0.527212876,0.49952553,19,1.073535543,1.047333556,,,,,
41,URU,0.39890092,0.39034211,16,0.812260731,0.818413405,,,,,
42,USL,0.421823621,0.43258345,27,0.858937008,0.906978994,,,,,
43,English National League,0.295999891,0.290400415,10,0.602728837,0.60886998,,,,,
44,English National League N/S,0.295999891,0.290400415,10,0.461832405,0.60886998,,,,,
