"","Player","Team","Team_within_selected_timeframe","League","Season","Main_Position","Secondary_Position","Tertiary_Position","Age","Market_value","Contract_expires","Matches_played","Minutes_played","Goals","xG","Assists","xA","Duels_per_90","Duels_won_.","Birth_country","Passport_country","Foot","Height","Weight","On_loan","Successful_defensive_actions_per_90","Defensive_duels_per_90","Defensive_duels_won_.","Aerial_duels_per_90","Aerial_duels_won_.","Sliding_tackles_per_90","PAdj_Sliding_tackles","Shots_blocked_per_90","Interceptions_per_90","PAdj_Interceptions","Fouls_per_90","Yellow_cards","Yellow_cards_per_90","Red_cards","Red_cards_per_90","Successful_attacking_actions_per_90","Goals_per_90","Non.penalty_goals","Non.penalty_goals_per_90","xG_per_90","Head_goals","Head_goals_per_90","Shots","Shots_per_90","Shots_on_target_.","Goal_conversion_.","Assists_per_90","Crosses_per_90","Accurate_crosses_.","Crosses_from_left_flank_per_90","Accurate_crosses_from_left_flank_.","Crosses_from_right_flank_per_90","Accurate_crosses_from_right_flank_.","Crosses_to_goalie_box_per_90","Dribbles_per_90","Successful_dribbles_.","Offensive_duels_per_90","Offensive_duels_won_.","Touches_in_box_per_90","Progressive_runs_per_90","Accelerations_per_90","Received_passes_per_90","Received_long_passes_per_90","Fouls_suffered_per_90","Passes_per_90","Accurate_passes_.","Forward_passes_per_90","Accurate_forward_passes_.","Back_passes_per_90","Accurate_back_passes_.","Lateral_passes_per_90","Accurate_lateral_passes_.","Short_._medium_passes_per_90","Accurate_short_._medium_passes_.","Long_passes_per_90","Accurate_long_passes_.","Average_pass_length_m","Average_long_pass_length_m","xA_per_90","Shot_assists_per_90","Second_assists_per_90","Third_assists_per_90","Smart_passes_per_90","Accurate_smart_passes_.","Key_passes_per_90","Passes_to_final_third_per_90","Accurate_passes_to_final_third_.","Passes_to_penalty_area_per_90","Accurate_passes_to_penalty_area_.","Through_passes_per_90","Accurate_through_passes_.","Deep_completions_per_90","Deep_completed_crosses_per_90","Progressive_passes_per_90","Accurate_progressive_passes_.","Conceded_goals","Conceded_goals_per_90","Shots_against","Shots_against_per_90","Clean_sheets","Save_rate_.","xG_against","xG_against_per_90","Prevented_goals","Prevented_goals_per_90","Back_passes_received_as_GK_per_90","Exits_per_90","Aerial_duels_per_90.1","Free_kicks_per_90","Direct_free_kicks_per_90","Direct_free_kicks_on_target_.","Corners_per_90","Penalties_taken","Penalty_conversion_.","General_Position","Dribbles_Completed","Goals_per_xG","Smart_Passes_Completed","Passes_Completed","Defensive_Duels_Won","Progressive_Passes_Completed","Shots_On_Target","Crosses_Completed","Penalty_Area_Passes_Completed","Chance_Creation"
"1","T. Parrott","Milton Keynes Dons","Milton Keynes Dons","England League One","2021/22","RWF","AMF","CF",20,3600000,"2023-06-30",37,2844,7,9.72,3,3.27,24.4,38.13,"Republic of Ireland","Republic of Ireland","right",185,72,"yes",4.78,4.49,59.15,2.18,30.43,0.16,0.26,0.03,1.96,3.2,0.82,2,0.06,0,0,3.26,0.22,6,0.19,0.31,1,0.03,78,2.47,39.74,8.974,0.09,1.39,22.73,0.44,14.29,0.92,27.59,0.19,3.8,47.5,12.78,35.89,3.99,2.56,1.33,24.53,2.5,2.06,32.5,80.04,6.58,65.38,10.44,93.64,8.58,76.38,29.75,83.51,1.42,64.44,15.88,23.22,0.1,1.04,0.09,0.03,0.95,16.67,0.41,2.97,62.77,1.77,41.07,0.98,12.9,1.11,0.28,3.29,75,0,NA,0,NA,0,0,0,0,NA,NA,0.38,NA,NA,0.06,0.03,0,0.06,1,100,"Winger",1.805,0.709677419354839,0.158365,26.013,2.655835,2.4675,0.981578,0.315947,0.726939,31.069786512276
"2","B. Celina","Ipswich Town","Ipswich Town","England League One","2021/22","AMF","LAMF",NA,25,3000000,"2024-06-30",28,2002,6,4.23,5,5.5,16.27,41.44,"Kosovo","Kosovo, Norway","right",181,70,"yes",4,5.08,49.56,1.71,28.95,0,0,0.04,1.48,2.51,0.72,4,0.18,0,0,4.68,0.27,6,0.27,0.19,0,0,42,1.89,47.62,14.286,0.22,2.16,31.25,1.3,34.48,0.76,29.41,0.36,4.81,49.53,7.69,40.35,2.38,3.1,1.44,32.32,1.3,0.58,43.97,79.55,12.5,65.83,9.85,93.15,13.17,81.57,39.65,83.22,2.25,60,15.62,23.2,0.25,2.07,0.09,0.04,2.25,32,0.94,6.02,67.91,4,48.31,2.25,28,1.89,0.58,5.75,81.25,0,NA,0,NA,0,0,0,0,NA,NA,0.09,NA,NA,0.54,0.18,0,1.44,0,0,"CAM",2.382393,1.42105263157895,0.72,34.978135,2.517648,4.671875,0.900018,0.675,1.9324,76.7975319592
"3","A. Pritchard","Sunderland","Sunderland","England League One","2021/22","AMF","LW",NA,28,2500000,"2023-06-30",33,2159,4,2.98,8,7.43,21.55,41.2,"England","England","right",171,62,"no",5.38,4.96,62.18,1.54,10.81,0.46,0.78,0.04,1.83,3.11,1.21,3,0.13,0,0,4.63,0.17,4,0.17,0.12,0,0,48,2,37.5,8.333,0.33,2.79,34.33,1.71,34.15,1.04,32,0.29,5,46.67,10.71,36.58,1.79,1.29,0.58,24.22,1.08,1.88,35.39,77.74,9.34,63.39,8.3,94.47,10.17,78.28,30.47,84.27,2.17,40.38,16.67,29.99,0.31,2.17,0.21,0,1.13,51.85,0.67,3.84,59.78,3.96,46.32,1.25,40,1.33,1,5.21,77.6,0,NA,0,NA,0,0,0,0,NA,NA,0.04,NA,NA,1.5,0.42,50,3.92,0,0,"CAM",2.3335,1.41666666666667,0.585905,27.512186,3.084128,4.04296,0.75,0.957807,1.834272,65.06439161979
"4","R. Harper","Crewe Alexandra","Crewe Alexandra","England League One","2021/22","RCMF","AMF","RDMF",22,2500000,"2024-06-30",25,1556,0,1.51,0,0.11,19.2,43.07,"England","England, Jamaica","right",188,64,"yes",4.86,4.22,54.79,3.99,47.83,0.23,0.36,0.23,2.31,3.6,0.64,0,0,0,0,1.97,0,0,0,0.09,0,0,19,1.1,26.32,0,0,0.64,9.09,0.23,25,0.4,0,0.12,2.78,54.17,6.83,44.07,0.75,0.58,0.23,19.49,0.29,0.87,31.64,86.29,7.63,68.18,6.83,96.61,12.38,92.99,28.92,90,2.14,56.76,19.25,27.87,0.01,0.17,0,0.06,0.29,40,0.06,4.05,72.86,1.21,47.62,0.58,60,0.4,0.06,3.59,79.03,0,NA,0,NA,0,0,0,0,NA,NA,0.75,NA,NA,0,0,0,0,0,0,"CM2",1.505926,0,0.116,27.302156,2.312138,2.837177,0.28952,0.058176,0.576202,11.164882169588
"5","M. Romeo","Portsmouth","Portsmouth","England League One","2021/22","RWB","RB",NA,26,2000000,"2024-06-30",31,2973,0,1.6,1,1.2,22.07,46.91,"England","England, Antigua and Barbuda","right",178,73,"yes",9.23,7.45,57.72,3.75,50,0.42,0.69,0.3,4.51,7.36,1.21,7,0.21,0,0,2.85,0,0,0,0.05,0,0,25,0.76,16,0,0.03,2.85,31.91,0,0,2.85,31.91,0.24,3.3,51.38,6.45,43.66,1,1.66,1.06,21.95,1.42,1.33,31.94,77.16,11.32,67.91,7.08,94.44,8.11,77.24,26.64,84.55,2.54,48.81,17.52,31.04,0.04,0.48,0.03,0.06,0.24,50,0.3,4.12,69.12,2.57,45.88,0.21,71.43,0.45,0.97,7.24,77.82,0,NA,0,NA,0,0,0,0,NA,NA,0.61,NA,NA,0,0,0,0,0,0,"WB",1.69554,0,0.12,24.644904,4.30014,5.634168,0.1216,0.909435,1.179116,27.371348305198
"6","L. Wing","Wycombe Wanderers","Wycombe Wanderers","England League One","2021/22","LCMF","RDMF","LDMF",26,2000000,"2022-05-31",30,2406,2,3.33,0,2.29,17.96,48.54,"England","England","right",185,74,"no",8.64,6.55,58.29,3.7,52.53,0.22,0.33,0.15,4.6,6.77,1.05,3,0.11,1,0.04,1.68,0.07,2,0.07,0.12,0,0,45,1.68,33.33,4.444,0,0.64,41.18,0.22,33.33,0.41,45.45,0.07,1.01,62.96,4.11,32.73,0.82,0.37,0.19,18.52,0.52,0.64,32.69,80.43,10.96,64.85,6.62,97.18,9.76,86.21,27.19,86.66,4.94,50.76,19.8,38.42,0.09,0.75,0.04,0.04,0.6,37.5,0.19,5.95,63.52,1.91,56.86,0.86,30.43,1.08,0.26,6.32,75.74,0,NA,0,NA,0,0,0,0,NA,NA,1.08,NA,NA,0.71,0.19,20,1.16,0,0,"CM2",0.635896,0.583333333333333,0.225,26.292567,3.817995,4.786768,0.559944,0.263552,1.086026,26.107262888452
"7","M. Bonne","Ipswich Town","Ipswich Town","England League One","2021/22","CF",NA,NA,26,2000000,"2023-06-30",39,2804,12,14.44,1,0.7,33.83,30.65,"England","England, Zimbabwe","right",180,76,"yes",2.89,2.54,46.84,14.99,36.4,0.06,0.11,0.29,1.64,2.8,1.64,3,0.1,0,0,1.83,0.39,12,0.39,0.46,2,0.06,64,2.05,51.56,18.75,0.03,0.67,42.86,0.32,50,0.35,36.36,0.1,1.38,32.56,6.07,17.99,3.47,0.48,0.22,9.21,2.5,0.35,13.99,64.45,3.02,46.81,3.85,86.67,3.59,62.5,12.81,66.42,0.55,41.18,15.01,13.71,0.02,0.39,0.1,0,0.26,12.5,0.13,1.25,41.03,0.96,40,0.22,0,0.55,0.29,1.32,65.85,0,NA,0,NA,0,0,0,0,NA,NA,0.1,NA,NA,0,0,0,0,0,0,"CF",0.449328,0.847826086956522,0.0325,9.016555,1.189736,0.86922,1.05698,0.287162,0.384,10.929542108964
"8","B. Bannan","Sheffield Wednesday","Sheffield Wednesday","England League One","2021/22","AMF","DMF","LCMF",32,1800000,"2023-06-30",40,3853,8,7.11,9,8.61,13.55,48.97,"Scotland","Scotland","left",170,61,"no",5.72,3.76,65.84,0.84,16.67,0.86,1.39,0,2.38,3.83,0.44,8,0.19,0,0,3.55,0.19,7,0.16,0.17,0,0,75,1.75,32,10.667,0.21,1.87,38.75,1.26,44.44,0.61,26.92,0.35,2.87,57.72,6,44.75,1.24,1.28,0.91,32.09,0.89,0.56,48.14,80.11,18.06,67.53,8.04,95.35,14.81,85.96,38.85,86.71,7.52,56.52,19.95,39.72,0.2,1.85,0.16,0.07,1.66,36.62,0.51,9.83,62.95,4.7,56.72,2.85,37.7,2.15,0.72,10.09,79.86,0,NA,0,NA,0,0,0,0,NA,NA,0.49,NA,NA,1.85,0.19,12.5,3.83,3,33.333,"CAM",1.656564,1.11764705882353,0.607892,38.564954,2.475584,8.057874,0.56,0.724625,2.66584,69.271006542354
"9","C. Paterson","Sheffield Wednesday","Sheffield Wednesday","England League One","2021/22","CF","AMF",NA,27,1800000,"2022-06-30",35,2441,6,7.03,3,2.49,30.68,37.02,"England","England, Scotland","right",183,76,"no",5.35,4.61,48.8,11.17,37.62,0.26,0.41,0.22,2.84,4.54,1.62,9,0.33,0,0,1.62,0.22,6,0.22,0.26,2,0.07,37,1.36,32.43,16.216,0.11,1.25,38.24,0.18,0,1.07,44.83,0.22,1.59,34.88,5.68,29.22,2.65,0.59,0.26,11.1,1.11,1.11,18.25,62.83,7.23,46.94,2.99,90.12,5.16,71.43,14.31,68.56,2.73,43.24,16.26,25.45,0.09,0.63,0.04,0.04,0.26,57.14,0.33,3.36,45.05,1.62,38.64,0.55,40,0.44,0.44,3.28,69.66,0,NA,0,NA,0,0,0,0,NA,NA,0.11,NA,NA,0,0,0,0,0,0,"CF",0.554592,0.846153846153846,0.148564,11.466475,2.24968,2.284848,0.441048,0.478,0.625968,25.796038524672
"10","M. Luongo","Sheffield Wednesday","Sheffield Wednesday","England League One","2021/22","LCMF","DMF",NA,29,1600000,"2022-06-30",21,1983,1,1.79,4,0.96,23.83,55.43,"Australia","Australia, Italy","right",176,66,"no",11.94,8.21,68.51,4.45,54.08,1.45,2.39,0.32,4.86,8,1.59,4,0.18,1,0.05,1.82,0.05,1,0.05,0.08,0,0,20,0.91,20,5,0.18,0.54,25,0.14,0,0.41,33.33,0,2.59,54.39,6.08,48.51,0.91,1.77,0.86,26.28,0.27,1.13,43.66,80.67,16.66,68.66,6.67,94.56,13.12,87.89,38.03,85.92,5.13,46.9,18.11,35.52,0.04,0.64,0.05,0,0.68,13.33,0.32,8.49,66.84,1.32,44.83,0.95,23.81,0.59,0.14,7.03,75.48,0,NA,0,NA,0,0,0,0,NA,NA,0.5,NA,NA,0,0,0,0,0,0,"CM2",1.408701,0.625,0.090644,35.220522,5.624671,5.306244,0.182,0.135,0.591756,22.987393321736
