"","Player","Team","Team_within_selected_timeframe","League","Season","Main_Position","Secondary_Position","Tertiary_Position","Age","Market_value","Contract_expires","Matches_played","Minutes_played","Goals","xG","Assists","xA","Duels_per_90","Duels_won_.","Birth_country","Passport_country","Foot","Height","Weight","On_loan","Successful_defensive_actions_per_90","Defensive_duels_per_90","Defensive_duels_won_.","Aerial_duels_per_90","Aerial_duels_won_.","Sliding_tackles_per_90","PAdj_Sliding_tackles","Shots_blocked_per_90","Interceptions_per_90","PAdj_Interceptions","Fouls_per_90","Yellow_cards","Yellow_cards_per_90","Red_cards","Red_cards_per_90","Successful_attacking_actions_per_90","Goals_per_90","Non.penalty_goals","Non.penalty_goals_per_90","xG_per_90","Head_goals","Head_goals_per_90","Shots","Shots_per_90","Shots_on_target_.","Goal_conversion_.","Assists_per_90","Crosses_per_90","Accurate_crosses_.","Crosses_from_left_flank_per_90","Accurate_crosses_from_left_flank_.","Crosses_from_right_flank_per_90","Accurate_crosses_from_right_flank_.","Crosses_to_goalie_box_per_90","Dribbles_per_90","Successful_dribbles_.","Offensive_duels_per_90","Offensive_duels_won_.","Touches_in_box_per_90","Progressive_runs_per_90","Accelerations_per_90","Received_passes_per_90","Received_long_passes_per_90","Fouls_suffered_per_90","Passes_per_90","Accurate_passes_.","Forward_passes_per_90","Accurate_forward_passes_.","Back_passes_per_90","Accurate_back_passes_.","Lateral_passes_per_90","Accurate_lateral_passes_.","Short_._medium_passes_per_90","Accurate_short_._medium_passes_.","Long_passes_per_90","Accurate_long_passes_.","Average_pass_length_m","Average_long_pass_length_m","xA_per_90","Shot_assists_per_90","Second_assists_per_90","Third_assists_per_90","Smart_passes_per_90","Accurate_smart_passes_.","Key_passes_per_90","Passes_to_final_third_per_90","Accurate_passes_to_final_third_.","Passes_to_penalty_area_per_90","Accurate_passes_to_penalty_area_.","Through_passes_per_90","Accurate_through_passes_.","Deep_completions_per_90","Deep_completed_crosses_per_90","Progressive_passes_per_90","Accurate_progressive_passes_.","Conceded_goals","Conceded_goals_per_90","Shots_against","Shots_against_per_90","Clean_sheets","Save_rate_.","xG_against","xG_against_per_90","Prevented_goals","Prevented_goals_per_90","Back_passes_received_as_GK_per_90","Exits_per_90","Aerial_duels_per_90.1","Free_kicks_per_90","Direct_free_kicks_per_90","Direct_free_kicks_on_target_.","Corners_per_90","Penalties_taken","Penalty_conversion_.","General_Position","Dribbles_Completed","Goals_per_xG","Smart_Passes_Completed","Passes_Completed","Defensive_Duels_Won","Progressive_Passes_Completed","Shots_On_Target","Crosses_Completed","Penalty_Area_Passes_Completed","Chance_Creation"
"1","B. Thompson","Gillingham","Gillingham","England League One","2021/22","RCMF","LCMF",NA,26,500000,"2022-06-30",5,508,0,1.17,0,0.01,24.98,40.43,"England","England","right",180,78,"no",6.91,6.38,55.56,4.25,37.5,0.89,1.4,0.18,2.48,3.93,1.06,1,0.18,0,0,2.83,0,0,0,0.21,0,0,9,1.59,33.33,0,0,1.95,27.27,0.71,50,1.24,14.29,0.18,5.31,33.33,10.81,32.79,1.95,1.24,0.35,10.1,1.24,1.77,16.83,67.37,4.43,56,3.01,70.59,5.67,71.88,13.11,75.68,1.77,50,20.44,29.54,0,0.35,0,0,0.18,0,0,1.59,33.33,1.77,40,0,0,0.18,0.53,2.66,60,0,NA,0,NA,0,0,0,0,NA,NA,0.18,NA,NA,0.18,0.18,0,0,0,0,"CM2",1.769823,0,0,11.338371,3.544728,1.596,0.529947,0.531765,0.708,8.36359486833
"2","R. Jackson","Gillingham","Gillingham","England League One","2021/22","RB","RWB","RCB",31,150000,"2022-06-30",5,508,1,0.1,0,0.91,12.93,56.16,"England","England","right",175,65,"no",6.02,3.54,65,3.72,47.62,0,0,0.18,3.72,5.89,0.18,0,0,0,0,3.72,0.18,1,0.18,0.02,0,0,3,0.53,66.67,33.333,0,2.66,60,0.18,0,2.48,64.29,0.35,2.66,66.67,3.72,57.14,0.53,1.42,0.53,8.86,1.59,0.89,17.19,63.92,8.86,48,2.66,100,4.25,75,9.92,76.79,5.14,37.93,26.32,48.47,0.16,1.77,0,0,0,0,0.89,4.96,50,2.3,69.23,0.35,0,0,1.59,6.56,72.97,0,NA,0,NA,0,0,0,0,NA,NA,0.53,NA,NA,0,0,0,0,0,0,"FB",1.773422,9,0,10.987848,2.301,4.786832,0.353351,1.596,1.59229,57.87630115082
"3","V. Oliver","Gillingham","Gillingham","England League One","2021/22","CF",NA,NA,30,50000,"2022-06-30",5,508,1,1.29,0,0,44.29,37.6,"England","England, France","right",188,78,"no",3.19,2.66,66.67,18.78,45.28,0,0,0.18,1.42,2.24,2.13,3,0.53,0,0,0.53,0.18,1,0.18,0.23,0,0,11,1.95,27.27,9.091,0,0,0,0,0,0,0,0,0.18,0,4.61,23.08,3.19,0.18,0,6.91,2.48,1.42,10.63,56.67,2.66,33.33,1.59,77.78,3.9,63.64,10.28,55.17,0.35,100,13.05,9.38,0,0,0,0,0,0,0,0.89,20,0.71,0,0,0,0.35,0,1.06,50,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"CF",0,0.782608695652174,0,6.024021,1.773422,0.53,0.531765,0,0,0
"4","J. Tucker","Gillingham","Gillingham","England League One","2021/22","RCB","LCB",NA,22,0,"2022-06-30",5,508,1,0.14,0,0.68,19.67,55.86,"England","England","right",192,85,"no",10.98,5.67,71.88,5.85,48.48,0.35,0.56,1.06,6.56,10.37,0.71,1,0.18,0,0,0.53,0.18,1,0.18,0.03,0,0,5,0.89,20,20,0,0.35,50,0,0,0.35,50,0,0.35,50,1.59,22.22,1.59,0,0,12.4,0,0.89,30.65,69.36,18.78,60.38,2.66,93.33,7.26,80.49,16.12,84.62,14.17,52.5,31.97,46.28,0.12,0.35,0,0,0,0,0.35,11.87,55.22,2.83,50,1.24,28.57,1.59,0.18,11.69,75.76,0,NA,0,NA,0,0,0,0,NA,NA,1.95,NA,NA,0,0,0,0,0,0,"CB",0.175,6,0,21.25884,4.075596,8.856344,0.178,0.175,1.415,34.87362997
"5","M. Ehmer","Gillingham","Gillingham","England League One","2021/22","CB",NA,NA,30,175000,"2023-06-30",5,508,0,0.29,0,0,21.61,61.48,"Germany","Germany","right",188,75,"no",10.81,6.73,68.42,6.73,55.26,0.89,1.4,0.53,5.31,8.41,1.06,2,0.35,0,0,0.18,0,0,0,0.05,0,0,3,0.53,0,0,0,0.18,100,0,0,0.18,100,0,0,0,1.24,57.14,1.06,0,0,8.33,0.18,0.53,22.15,72.8,12.93,68.49,1.42,100,6.38,77.78,14.35,75.31,7.62,67.44,26.64,40.7,0,0,0,0,0,0,0,5.85,69.7,0.53,100,0,0,0.53,0.18,9.92,64.29,0,NA,0,NA,0,0,0,0,NA,NA,1.24,NA,NA,0,0,0,0,0,0,"CB",0,0,0,16.1252,4.604666,6.377568,0,0.18,0.53,5.1533527
"6","C. Hayes","Fleetwood Town","Fleetwood Town","England League One","2021/22","RWF","RW","CF",18,0,"",5,505,1,1.5,1,0.08,31.01,35.06,"England","England, Republic of Ireland","left",0,0,"no",8.2,8.2,54.35,5.17,6.9,0.89,1.22,0,2.85,3.9,1.25,0,0,0,0,4.46,0.18,1,0.18,0.27,0,0,8,1.43,62.5,12.5,0.18,1.78,10,0.53,0,1.25,14.29,0.53,7.66,39.53,13.72,37.66,2.67,3.03,0.71,6.42,1.6,0.71,12.12,66.18,2.14,58.33,3.03,88.24,3.56,55,10.34,75.86,0.18,0,17.09,9.54,0.01,0.53,0,0,0.36,100,0.18,0.18,100,1.6,22.22,0.18,100,0.53,0.36,1.6,55.56,0,NA,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,"Winger",3.027998,0.666666666666667,0.36,8.021016,4.4567,0.88896,0.89375,0.178,0.35552,13.69911597416
"7","T. Nsiala","Fleetwood Town","Fleetwood Town","England League One","2021/22","RCB",NA,NA,30,600000,"2024-06-30",5,505,0,0,0,0,26.2,48.3,"Congo DR","Congo DR, Wales","right",193,83,"no",10.87,7.31,70.73,11.23,31.75,0.53,0.73,0.53,5.17,7.07,0.71,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,100,3.39,42.11,0,0,0,9.09,0.18,0.89,22.46,76.98,11.58,66.15,2.85,87.5,6.59,89.19,18.71,80.95,3.74,57.14,20.48,39.37,0,0,0,0,0,0,0,3.03,58.82,0.36,50,0.18,100,0.18,0,4.63,50,0,NA,0,NA,0,0,0,0,NA,NA,1.96,NA,NA,0,0,0,0,0,0,"CB",0.18,NA,0,17.289708,5.170363,2.315,0,0,0.18,2.37301056
"8","C. Camps","Fleetwood Town","Fleetwood Town","England League One","2021/22","LCMF","DMF",NA,26,200000,"2022-06-30",5,505,1,0.31,0,0.12,15.15,50.59,"England","England, Northern Ireland","right",180,75,"no",9.09,5.7,65.63,2.67,33.33,0.36,0.49,0.18,4.99,6.83,1.07,0,0,0,0,0.89,0.18,1,0.18,0.06,0,0,8,1.43,25,12.5,0,0.53,0,0.18,0,0.36,0,0,1.43,37.5,2.85,43.75,0.18,0.18,0.18,14.44,0.18,0.36,29.23,68.29,12.12,51.47,2.5,78.57,11.05,80.65,24.24,74.26,4.46,44,19.11,37.29,0.02,0.89,0,0,0,0,0.36,7.31,56.1,0.89,40,0,0,0,0,6.24,62.86,0,NA,0,NA,0,0,0,0,NA,NA,0.89,NA,NA,0.18,0.18,0,0,0,0,"CM2",0.53625,3,0,19.961167,3.74091,3.922464,0.3575,0,0.356,15.223540708
"9","L. Leahy","Shrewsbury Town","Shrewsbury Town","England League One","2021/22","LCB","LCMF",NA,29,225000,"2023-06-30",5,504,0,0.49,0,1.06,14.11,54.43,"England","England, Scotland","left",178,74,"no",9.11,3.93,72.73,5,60.71,0.54,0.66,1.43,5.71,7.06,1.43,2,0.36,0,0,1.61,0,0,0,0.09,0,0,7,1.25,28.57,0,0,1.07,66.67,0.71,50,0.18,100,0,0.89,60,1.61,55.56,1.07,0.36,0,24.29,0.36,0.36,36.61,78.54,18.75,62.86,5.71,96.88,8.93,94,23.57,87.12,12.32,62.32,25.43,41.73,0.19,1.43,0,0,0,0,0.36,11.61,66.15,1.61,66.67,0.71,50,0.54,0.36,9.82,83.64,0,NA,0,NA,0,0,0,0,NA,NA,1.43,NA,NA,1.25,0.18,0,0.18,0,0,"CB",0.534,0,0,28.753494,2.858289,8.213448,0.357125,0.713369,1.073387,35.375531761664
"10","M. Pennington","Shrewsbury Town","Shrewsbury Town","England League One","2021/22","RCB",NA,NA,27,600000,"2023-06-30",5,504,0,0.25,0,0,17.68,54.55,"England","England","right",185,77,"no",7.68,4.82,55.56,7.68,65.12,0.18,0.22,0.36,4.82,5.96,0.89,1,0.18,0,0,0.54,0,0,0,0.05,0,0,3,0.54,0,0,0,0.54,0,0,0,0.54,0,0,1.07,50,1.79,30,0.71,1.43,0.54,17.68,0.71,0.36,28.21,81.65,13.21,71.62,3.39,94.74,7.32,92.68,24.11,88.89,3.57,45,19.03,36.53,0,0,0,0,0,0,0,4.29,66.67,1.07,16.67,0,0,0,0.18,5.54,70.97,0,NA,0,NA,0,0,0,0,NA,NA,1.43,NA,NA,0,0,0,0,0,0,"CB",0.535,0,0,23.033465,2.677992,3.931738,0,0,0.178369,1.426676955002
